full_name,Position,TEAM,GP,MIN,PTS,FG_PCT,FG3_PCT,FT_PCT,AST,BLK,STL,REB,TOV,Salary,DREB,FG3A,FG3M,FGA,FGM,FTA,FTM,GS,LEAGUE_ID,OREB,ORGANIZATION_ID,PF,PLAYER_AGE,PLAYER_ID,SCHOOL_NAME,SEASON_ID,TEAM_ID,Team_ID,id,first_name,last_name,is_active,PlayerID,Status,TeamID,Team,Jersey,PositionCategory,FirstName,LastName,Height,Weight,BirthDate,BirthCity,BirthState,BirthCountry,HighSchool,College,PhotoUrl,Experience,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,FantasyAlarmPlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,FanDuelName,DraftKingsName,YahooName,DepthChartPosition,DepthChartOrder,GlobalTeamID,FantasyDraftName,FantasyDraftPlayerID,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated,NbaDotComPlayerID
Grayson Allen,SG,MEM,30,498,221,0.449,0.363,0.857,43,1,6,66,23,2429400,61,91,33,176,79,35,30,0,0,5,,36,24,1628960,,2019-20,1610612763,,1628960,Grayson,Allen,TRUE,20001986,Active,21,MEM,3,G,Grayson,Allen,76,198,1995-10-08T00:00:00,,,,,Duke,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001986.png,0,ffa9a64f-d624-4033-bd23-59dcfd805175,2934,4454,201120,842296,761297,,Scrambled,Scrambled,2020-03-10T00:00:00,Scrambled,84711,842296,6032,Grayson Allen,Grayson Allen,Grayson Allen,,,20000021,Grayson Allen,842296,4586924,http://cdn.usatsimg.com/api/download/?imageID=13715001,http://cdn.usatsimg.com/api/download/?imageID=13715021,2019-11-26T10:27:35,2019-11-26T10:27:57,1628960
Grayson Allen,SG,MEM,30,498,221,0.449,0.363,0.857,43,1,6,66,23,2429400,61,91,33,176,79,35,30,0,0,5,,36,24,1628960,,2019-20,1610612763,,1628960,Grayson,Allen,TRUE,20001986,Active,21,MEM,3,G,Grayson,Allen,76,198,1995-10-08T00:00:00,,,,,Duke,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001986.png,0,ffa9a64f-d624-4033-bd23-59dcfd805175,2934,4454,201120,842296,761297,,Scrambled,Scrambled,2020-03-10T00:00:00,Scrambled,84711,842296,6032,Grayson Allen,Grayson Allen,Grayson Allen,,,20000021,Grayson Allen,842296,4586924,http://cdn.usatsimg.com/api/download/?imageID=13715001,http://cdn.usatsimg.com/api/download/?imageID=13715021,2019-11-26T10:27:35,2019-11-26T10:27:57,1628960
Jarrett Allen,C,BKN,64,1647,681,0.646,0,0.62,85,85,37,605,72,2376840,410,5,0,413,267,237,147,58,0,195,,144,21,1628386,,2019-20,1610612751,,1628386,Jarrett,Allen,TRUE,20001837,Active,8,BKN,31,C,Jarrett,Allen,83,243,1998-04-21T00:00:00,,,,,Texas,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001837.png,1,a3fff5c7-19b6-4dac-bd75-11b944bea505,2775,4122,200968,956574,776012,,Scrambled,Scrambled,,Scrambled,80821,956574,5835,Jarrett Allen,Jarrett Allen,Jarrett Allen,C,1,20000008,Jarrett Allen,956574,4588106,http://cdn.usatsimg.com/api/download/?imageID=13454530,http://cdn.usatsimg.com/api/download/?imageID=13514666,2019-10-03T13:00:55,2019-10-14T09:52:08,1628386
Jarrett Allen,C,BKN,64,1647,681,0.646,0,0.62,85,85,37,605,72,2376840,410,5,0,413,267,237,147,58,0,195,,144,21,1628386,,2019-20,1610612751,,1628386,Jarrett,Allen,TRUE,20001837,Active,8,BKN,31,C,Jarrett,Allen,83,243,1998-04-21T00:00:00,,,,,Texas,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001837.png,1,a3fff5c7-19b6-4dac-bd75-11b944bea505,2775,4122,200968,956574,776012,,Scrambled,Scrambled,,Scrambled,80821,956574,5835,Jarrett Allen,Jarrett Allen,Jarrett Allen,C,1,20000008,Jarrett Allen,956574,4588106,http://cdn.usatsimg.com/api/download/?imageID=13454530,http://cdn.usatsimg.com/api/download/?imageID=13514666,2019-10-03T13:00:55,2019-10-14T09:52:08,1628386
Kadeem Allen,SG,NYK,10,117,50,0.432,0.313,0.636,21,2,5,9,8,,7,16,5,44,19,11,7,0,0,2,,7,27,1628443,,2019-20,1610612752,,1628443,Kadeem,Allen,TRUE,20001866,Active,6,NY,0,G,Kadeem,Allen,73,200,1993-01-15T00:00:00,,,,,Arizona,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001866.png,1,f352a999-007c-4092-9dcf-9b715c2b820a,2837,4199,200991,844150,761282,,Scrambled,Scrambled,,Scrambled,58289,844150,5866,Kadeem Allen,Kadeem Allen,Kadeem Allen,,,20000006,Kadeem Allen,844150,4588200,http://cdn.usatsimg.com/api/download/?imageID=13458687,http://cdn.usatsimg.com/api/download/?imageID=13514868,2019-10-09T17:16:12,2019-10-14T09:59:21,1628443
Kadeem Allen,SG,NYK,10,117,50,0.432,0.313,0.636,21,2,5,9,8,,7,16,5,44,19,11,7,0,0,2,,7,27,1628443,,2019-20,1610612752,,1628443,Kadeem,Allen,TRUE,20001866,Active,6,NY,0,G,Kadeem,Allen,73,200,1993-01-15T00:00:00,,,,,Arizona,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001866.png,1,f352a999-007c-4092-9dcf-9b715c2b820a,2837,4199,200991,844150,761282,,Scrambled,Scrambled,,Scrambled,58289,844150,5866,Kadeem Allen,Kadeem Allen,Kadeem Allen,,,20000006,Kadeem Allen,844150,4588200,http://cdn.usatsimg.com/api/download/?imageID=13458687,http://cdn.usatsimg.com/api/download/?imageID=13514868,2019-10-09T17:16:12,2019-10-14T09:59:21,1628443
Al-Farouq Aminu,PF,ORL,18,380,78,0.291,0.25,0.655,21,8,18,87,17,9258000,63,36,9,86,25,29,19,2,0,24,,27,29,202329,,2019-20,1610612753,,202329,Al-Farouq,Aminu,TRUE,20000532,Active,5,ORL,2,F,Al-Farouq,Aminu,80,220,1990-09-21T00:00:00,Atlanta,Georgia,,,Wake Forest,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000532.png,8,56ff7cb8-4828-4aaa-8f95-0bf569a0786d,1719,3110,200171,457688,740174,2911,Scrambled,Scrambled,2020-03-12T00:00:00,Scrambled,12342,457688,4723,Al-Farouq Aminu,Al-Farouq Aminu,Al-Farouq Aminu,PF,1,20000005,Al-Farouq Aminu,457688,4587643,http://cdn.usatsimg.com/api/download/?imageID=13458770,http://cdn.usatsimg.com/api/download/?imageID=13515043,2019-10-09T17:16:12,2019-10-14T10:06:39,202329
Al-Farouq Aminu,PF,ORL,18,380,78,0.291,0.25,0.655,21,8,18,87,17,9258000,63,36,9,86,25,29,19,2,0,24,,27,29,202329,,2019-20,1610612753,,202329,Al-Farouq,Aminu,TRUE,20000532,Active,5,ORL,2,F,Al-Farouq,Aminu,80,220,1990-09-21T00:00:00,Atlanta,Georgia,,,Wake Forest,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000532.png,8,56ff7cb8-4828-4aaa-8f95-0bf569a0786d,1719,3110,200171,457688,740174,2911,Scrambled,Scrambled,2020-03-12T00:00:00,Scrambled,12342,457688,4723,Al-Farouq Aminu,Al-Farouq Aminu,Al-Farouq Aminu,PF,1,20000005,Al-Farouq Aminu,457688,4587643,http://cdn.usatsimg.com/api/download/?imageID=13458770,http://cdn.usatsimg.com/api/download/?imageID=13515043,2019-10-09T17:16:12,2019-10-14T10:06:39,202329
Kyle Anderson,SF,MEM,59,1140,335,0.493,0.258,0.652,132,31,46,257,55,9073050,203,62,16,280,138,66,43,20,0,54,,85,26,203937,,2019-20,1610612763,,203937,Kyle,Anderson,TRUE,20000659,Active,21,MEM,1,F,Kyle,Anderson,81,230,1993-09-20T00:00:00,New York,New York,,,UCLA,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000659.png,4,2e49c27a-06c5-4c4a-87fd-69840b783947,2292,3586,200153,697720,751276,3771,Scrambled,Scrambled,,Scrambled,23716,697720,5341,Kyle Anderson,Kyle Anderson,Kyle Anderson,SF,0,20000021,Kyle Anderson,697720,4586925,http://cdn.usatsimg.com/api/download/?imageID=13714987,http://cdn.usatsimg.com/api/download/?imageID=13715016,2019-11-26T10:27:18,2019-11-26T10:27:52,203937
Kyle Anderson,SF,MEM,59,1140,335,0.493,0.258,0.652,132,31,46,257,55,9073050,203,62,16,280,138,66,43,20,0,54,,85,26,203937,,2019-20,1610612763,,203937,Kyle,Anderson,TRUE,20000659,Active,21,MEM,1,F,Kyle,Anderson,81,230,1993-09-20T00:00:00,New York,New York,,,UCLA,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000659.png,4,2e49c27a-06c5-4c4a-87fd-69840b783947,2292,3586,200153,697720,751276,3771,Scrambled,Scrambled,,Scrambled,23716,697720,5341,Kyle Anderson,Kyle Anderson,Kyle Anderson,SF,0,20000021,Kyle Anderson,697720,4586925,http://cdn.usatsimg.com/api/download/?imageID=13714987,http://cdn.usatsimg.com/api/download/?imageID=13715016,2019-11-26T10:27:18,2019-11-26T10:27:52,203937
Giannis Antetokounmpo,PF,MIL,57,1763,1690,0.547,0.306,0.633,329,58,59,783,209,25842697,653,271,83,1139,623,570,361,57,0,130,,173,25,203507,,2019-20,1610612749,,203507,Giannis,Antetokounmpo,TRUE,20000497,Active,15,MIL,34,F,Giannis,Antetokounmpo,83,242,1994-12-06T00:00:00,Athens,Greece,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000497.png,5,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,2143,3456,200410,739957,755620,2444,Scrambled,Scrambled,2020-03-11T00:00:00,Scrambled,40199,739957,5185,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,PF,0,20000015,Giannis Antetokounmpo,739957,4587742,http://cdn.usatsimg.com/api/download/?imageID=13477391,http://cdn.usatsimg.com/api/download/?imageID=13515115,2019-10-09T17:16:12,2019-10-14T10:08:59,203507
Giannis Antetokounmpo,PF,MIL,57,1763,1690,0.547,0.306,0.633,329,58,59,783,209,25842697,653,271,83,1139,623,570,361,57,0,130,,173,25,203507,,2019-20,1610612749,,203507,Giannis,Antetokounmpo,TRUE,20000497,Active,15,MIL,34,F,Giannis,Antetokounmpo,83,242,1994-12-06T00:00:00,Athens,Greece,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000497.png,5,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,2143,3456,200410,739957,755620,2444,Scrambled,Scrambled,2020-03-11T00:00:00,Scrambled,40199,739957,5185,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,PF,0,20000015,Giannis Antetokounmpo,739957,4587742,http://cdn.usatsimg.com/api/download/?imageID=13477391,http://cdn.usatsimg.com/api/download/?imageID=13515115,2019-10-09T17:16:12,2019-10-14T10:08:59,203507
Giannis Antetokounmpo,PF,GNS,1,31,25,0.571,0.25,0,4,3,1,11,1,25842697,7,4,1,21,12,2,0,1,0,4,,4,25,203507,,2019-20,1610616833,,203507,Giannis,Antetokounmpo,TRUE,20000497,Active,15,MIL,34,F,Giannis,Antetokounmpo,83,242,1994-12-06T00:00:00,Athens,Greece,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000497.png,5,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,2143,3456,200410,739957,755620,2444,Scrambled,Scrambled,2020-03-11T00:00:00,Scrambled,40199,739957,5185,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,PF,0,20000015,Giannis Antetokounmpo,739957,4587742,http://cdn.usatsimg.com/api/download/?imageID=13477391,http://cdn.usatsimg.com/api/download/?imageID=13515115,2019-10-09T17:16:12,2019-10-14T10:08:59,203507
Kostas Antetokounmpo,PF,LAL,3,5,0,0,0,0,1,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,,0,22,1628961,,2019-20,1610612747,,1628961,Kostas,Antetokounmpo,TRUE,20002017,Active,27,LAL,37,F,Kostas,Antetokounmpo,82,200,1997-11-20T00:00:00,,,,,Dayton,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002017.png,0,d1b4d512-869c-497d-b40f-c0215051645b,2973,4448,201139,950367,775733,,Scrambled,Scrambled,,Scrambled,84725,950367,6071,Kostas Antetokounmpo,Kostas Antetokounmpo,Kostas Antetokounmpo,,,20000027,Kostas Antetokounmpo,950367,4587320,http://cdn.usatsimg.com/api/download/?imageID=11417706,http://cdn.usatsimg.com/api/download/?imageID=11993931,2018-10-11T14:51:18,2019-01-14T09:58:47,1628961
Kostas Antetokounmpo,PF,LAL,3,5,0,0,0,0,1,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,,0,22,1628961,,2019-20,1610612747,,1628961,Kostas,Antetokounmpo,TRUE,20002017,Active,27,LAL,37,F,Kostas,Antetokounmpo,82,200,1997-11-20T00:00:00,,,,,Dayton,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002017.png,0,d1b4d512-869c-497d-b40f-c0215051645b,2973,4448,201139,950367,775733,,Scrambled,Scrambled,,Scrambled,84725,950367,6071,Kostas Antetokounmpo,Kostas Antetokounmpo,Kostas Antetokounmpo,,,20000027,Kostas Antetokounmpo,950367,4587320,http://cdn.usatsimg.com/api/download/?imageID=11417706,http://cdn.usatsimg.com/api/download/?imageID=11993931,2018-10-11T14:51:18,2019-01-14T09:58:47,1628961
Thanasis Antetokounmpo,SF,MIL,18,93,45,0.528,0,0.467,9,2,6,19,11,1445697,8,7,0,36,19,15,7,2,0,11,,13,27,203648,,2019-20,1610612749,,203648,Thanasis,Antetokounmpo,TRUE,20001521,Active,15,MIL,43,F,Thanasis,Antetokounmpo,78,219,1992-07-18T00:00:00,Athens,Greece,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001521.png,1,64c0e4e5-8711-4b86-8072-745f6084df73,2386,3634,200674,803207,761263,,Scrambled,Scrambled,,Scrambled,111372,803207,5362,Thanasis Antetokounmpo,Thanasis Antetokounmpo,Thanasis Antetokounmpo,SF,1,20000015,Thanasis Antetokounmpo,803207,4587744,http://cdn.usatsimg.com/api/download/?imageID=13477373,http://cdn.usatsimg.com/api/download/?imageID=13515122,2019-10-09T17:16:12,2019-10-14T10:09:13,203648
Thanasis Antetokounmpo,SF,MIL,18,93,45,0.528,0,0.467,9,2,6,19,11,1445697,8,7,0,36,19,15,7,2,0,11,,13,27,203648,,2019-20,1610612749,,203648,Thanasis,Antetokounmpo,TRUE,20001521,Active,15,MIL,43,F,Thanasis,Antetokounmpo,78,219,1992-07-18T00:00:00,Athens,Greece,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001521.png,1,64c0e4e5-8711-4b86-8072-745f6084df73,2386,3634,200674,803207,761263,,Scrambled,Scrambled,,Scrambled,111372,803207,5362,Thanasis Antetokounmpo,Thanasis Antetokounmpo,Thanasis Antetokounmpo,SF,1,20000015,Thanasis Antetokounmpo,803207,4587744,http://cdn.usatsimg.com/api/download/?imageID=13477373,http://cdn.usatsimg.com/api/download/?imageID=13515122,2019-10-09T17:16:12,2019-10-14T10:09:13,203648
