,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,LEAGUE_ID,MIN,OREB,ORGANIZATION_ID,PF,PLAYER_AGE,PLAYER_ID,PTS,RANK_AST,RANK_BLK,RANK_DREB,RANK_EFF,RANK_FG3A,RANK_FG3M,RANK_FG3_PCT,RANK_FGA,RANK_FGM,RANK_FG_PCT,RANK_FTA,RANK_FTM,RANK_FT_PCT,RANK_MIN,RANK_OREB,RANK_PTS,RANK_REB,RANK_STL,RANK_TOV,REB,SCHOOL_NAME,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TOV,Team_ID,id,full_name,first_name,last_name,is_active,PlayerID,SportsDataID,Status,TeamID,Team,Jersey,PositionCategory,Position,FirstName,LastName,Height,Weight,BirthDate,BirthCity,BirthState,BirthCountry,HighSchool,College,Salary,PhotoUrl,Experience,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,FantasyAlarmPlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,FanDuelName,DraftKingsName,YahooName,DepthChartPosition,DepthChartOrder,GlobalTeamID,FantasyDraftName,FantasyDraftPlayerID,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated,NbaDotComPlayerID
14,74,7.0,72.0,117,40,0.342,227,77,0.339,28,17,0.607,41,0,00,501.0,8.0,,46,21.0,1629638,211,,,,,,,,,,,,,,,,,,,,80.0,,2019-20,11.0,NOP,1610612740.0,40.0,,1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True,20002285,,Active,23,NO,0,G,PG,Nickeil,Alexander-Walker,77,205,,,,,,Virginia Tech,2964840.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002285.png,0,d3d0ab55-b939-47b3-af27-77cdf85d7956,3137.0,4765.0,201263.0,1067668,781618.0,,Scrambled,Scrambled,2020-03-11T00:00:00,Scrambled,110356,1067668,6205,Nickeil Alexander-Walker,Nickeil Alexander-Walker,Nickeil Alexander-Walker,PG,1.0,20000023,Nickeil Alexander-Walker,1067668,4587095.0,http://cdn.usatsimg.com/api/download/?imageID=13477229,http://cdn.usatsimg.com/api/download/?imageID=13514613,2019-10-09T17:16:12,2019-10-14T09:50:19,1629638
15,74,7.0,72.0,117,40,0.342,227,77,0.339,28,17,0.607,41,0,00,501.0,8.0,,46,21.0,1629638,211,,,,,,,,,,,,,,,,,,,,80.0,,2019-20,11.0,NOP,1610612740.0,40.0,,1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True,20002285,,Active,23,NO,0,G,PG,Nickeil,Alexander-Walker,77,205,,,,,,Virginia Tech,2964840.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002285.png,0,d3d0ab55-b939-47b3-af27-77cdf85d7956,3137.0,4765.0,201263.0,1067668,781618.0,,Scrambled,Scrambled,2020-03-11T00:00:00,Scrambled,110356,1067668,6205,Nickeil Alexander-Walker,Nickeil Alexander-Walker,Nickeil Alexander-Walker,PG,1.0,20000023,Nickeil Alexander-Walker,1067668,4587095.0,http://cdn.usatsimg.com/api/download/?imageID=13477229,http://cdn.usatsimg.com/api/download/?imageID=13514613,2019-10-09T17:16:12,2019-10-14T09:50:19,1629638
17,43,1.0,61.0,91,33,0.363,176,79,0.449,35,30,0.857,30,0,00,498.0,5.0,,36,24.0,1628960,221,,,,,,,,,,,,,,,,,,,,66.0,,2019-20,6.0,MEM,1610612763.0,23.0,,1628960,Grayson Allen,Grayson,Allen,True,20001986,,Active,21,MEM,3,G,SG,Grayson,Allen,76,198,1995-10-08T00:00:00,,,,,Duke,2429400.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001986.png,0,ffa9a64f-d624-4033-bd23-59dcfd805175,2934.0,4454.0,201120.0,842296,761297.0,,Scrambled,Scrambled,2020-03-10T00:00:00,Scrambled,84711,842296,6032,Grayson Allen,Grayson Allen,Grayson Allen,,,20000021,Grayson Allen,842296,4586924.0,http://cdn.usatsimg.com/api/download/?imageID=13715001,http://cdn.usatsimg.com/api/download/?imageID=13715021,2019-11-26T10:27:35,2019-11-26T10:27:57,1628960
18,43,1.0,61.0,91,33,0.363,176,79,0.449,35,30,0.857,30,0,00,498.0,5.0,,36,24.0,1628960,221,,,,,,,,,,,,,,,,,,,,66.0,,2019-20,6.0,MEM,1610612763.0,23.0,,1628960,Grayson Allen,Grayson,Allen,True,20001986,,Active,21,MEM,3,G,SG,Grayson,Allen,76,198,1995-10-08T00:00:00,,,,,Duke,2429400.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001986.png,0,ffa9a64f-d624-4033-bd23-59dcfd805175,2934.0,4454.0,201120.0,842296,761297.0,,Scrambled,Scrambled,2020-03-10T00:00:00,Scrambled,84711,842296,6032,Grayson Allen,Grayson Allen,Grayson Allen,,,20000021,Grayson Allen,842296,4586924.0,http://cdn.usatsimg.com/api/download/?imageID=13715001,http://cdn.usatsimg.com/api/download/?imageID=13715021,2019-11-26T10:27:35,2019-11-26T10:27:57,1628960
20,85,85.0,410.0,5,0,0.0,413,267,0.646,237,147,0.62,64,58,00,1647.0,195.0,,144,21.0,1628386,681,,,,,,,,,,,,,,,,,,,,605.0,,2019-20,37.0,BKN,1610612751.0,72.0,,1628386,Jarrett Allen,Jarrett,Allen,True,20001837,,Active,8,BKN,31,C,C,Jarrett,Allen,83,243,1998-04-21T00:00:00,,,,,Texas,2376840.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001837.png,1,a3fff5c7-19b6-4dac-bd75-11b944bea505,2775.0,4122.0,200968.0,956574,776012.0,,Scrambled,Scrambled,,Scrambled,80821,956574,5835,Jarrett Allen,Jarrett Allen,Jarrett Allen,C,1.0,20000008,Jarrett Allen,956574,4588106.0,http://cdn.usatsimg.com/api/download/?imageID=13454530,http://cdn.usatsimg.com/api/download/?imageID=13514666,2019-10-03T13:00:55,2019-10-14T09:52:08,1628386
21,85,85.0,410.0,5,0,0.0,413,267,0.646,237,147,0.62,64,58,00,1647.0,195.0,,144,21.0,1628386,681,,,,,,,,,,,,,,,,,,,,605.0,,2019-20,37.0,BKN,1610612751.0,72.0,,1628386,Jarrett Allen,Jarrett,Allen,True,20001837,,Active,8,BKN,31,C,C,Jarrett,Allen,83,243,1998-04-21T00:00:00,,,,,Texas,2376840.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001837.png,1,a3fff5c7-19b6-4dac-bd75-11b944bea505,2775.0,4122.0,200968.0,956574,776012.0,,Scrambled,Scrambled,,Scrambled,80821,956574,5835,Jarrett Allen,Jarrett Allen,Jarrett Allen,C,1.0,20000008,Jarrett Allen,956574,4588106.0,http://cdn.usatsimg.com/api/download/?imageID=13454530,http://cdn.usatsimg.com/api/download/?imageID=13514666,2019-10-03T13:00:55,2019-10-14T09:52:08,1628386
23,21,2.0,7.0,16,5,0.313,44,19,0.432,11,7,0.636,10,0,00,117.0,2.0,,7,27.0,1628443,50,,,,,,,,,,,,,,,,,,,,9.0,,2019-20,5.0,NYK,1610612752.0,8.0,,1628443,Kadeem Allen,Kadeem,Allen,True,20001866,,Active,6,NY,0,G,SG,Kadeem,Allen,73,200,1993-01-15T00:00:00,,,,,Arizona,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001866.png,1,f352a999-007c-4092-9dcf-9b715c2b820a,2837.0,4199.0,200991.0,844150,761282.0,,Scrambled,Scrambled,,Scrambled,58289,844150,5866,Kadeem Allen,Kadeem Allen,Kadeem Allen,,,20000006,Kadeem Allen,844150,4588200.0,http://cdn.usatsimg.com/api/download/?imageID=13458687,http://cdn.usatsimg.com/api/download/?imageID=13514868,2019-10-09T17:16:12,2019-10-14T09:59:21,1628443
24,21,2.0,7.0,16,5,0.313,44,19,0.432,11,7,0.636,10,0,00,117.0,2.0,,7,27.0,1628443,50,,,,,,,,,,,,,,,,,,,,9.0,,2019-20,5.0,NYK,1610612752.0,8.0,,1628443,Kadeem Allen,Kadeem,Allen,True,20001866,,Active,6,NY,0,G,SG,Kadeem,Allen,73,200,1993-01-15T00:00:00,,,,,Arizona,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001866.png,1,f352a999-007c-4092-9dcf-9b715c2b820a,2837.0,4199.0,200991.0,844150,761282.0,,Scrambled,Scrambled,,Scrambled,58289,844150,5866,Kadeem Allen,Kadeem Allen,Kadeem Allen,,,20000006,Kadeem Allen,844150,4588200.0,http://cdn.usatsimg.com/api/download/?imageID=13458687,http://cdn.usatsimg.com/api/download/?imageID=13514868,2019-10-09T17:16:12,2019-10-14T09:59:21,1628443
26,21,8.0,63.0,36,9,0.25,86,25,0.291,29,19,0.655,18,2,00,380.0,24.0,,27,29.0,202329,78,,,,,,,,,,,,,,,,,,,,87.0,,2019-20,18.0,ORL,1610612753.0,17.0,,202329,Al-Farouq Aminu,Al-Farouq,Aminu,True,20000532,,Active,5,ORL,2,F,PF,Al-Farouq,Aminu,80,220,1990-09-21T00:00:00,Atlanta,Georgia,,,Wake Forest,9258000.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000532.png,8,56ff7cb8-4828-4aaa-8f95-0bf569a0786d,1719.0,3110.0,200171.0,457688,740174.0,2911.0,Scrambled,Scrambled,2020-03-12T00:00:00,Scrambled,12342,457688,4723,Al-Farouq Aminu,Al-Farouq Aminu,Al-Farouq Aminu,PF,1.0,20000005,Al-Farouq Aminu,457688,4587643.0,http://cdn.usatsimg.com/api/download/?imageID=13458770,http://cdn.usatsimg.com/api/download/?imageID=13515043,2019-10-09T17:16:12,2019-10-14T10:06:39,202329
27,21,8.0,63.0,36,9,0.25,86,25,0.291,29,19,0.655,18,2,00,380.0,24.0,,27,29.0,202329,78,,,,,,,,,,,,,,,,,,,,87.0,,2019-20,18.0,ORL,1610612753.0,17.0,,202329,Al-Farouq Aminu,Al-Farouq,Aminu,True,20000532,,Active,5,ORL,2,F,PF,Al-Farouq,Aminu,80,220,1990-09-21T00:00:00,Atlanta,Georgia,,,Wake Forest,9258000.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000532.png,8,56ff7cb8-4828-4aaa-8f95-0bf569a0786d,1719.0,3110.0,200171.0,457688,740174.0,2911.0,Scrambled,Scrambled,2020-03-12T00:00:00,Scrambled,12342,457688,4723,Al-Farouq Aminu,Al-Farouq Aminu,Al-Farouq Aminu,PF,1.0,20000005,Al-Farouq Aminu,457688,4587643.0,http://cdn.usatsimg.com/api/download/?imageID=13458770,http://cdn.usatsimg.com/api/download/?imageID=13515043,2019-10-09T17:16:12,2019-10-14T10:06:39,202329
29,132,31.0,203.0,62,16,0.258,280,138,0.493,66,43,0.652,59,20,00,1140.0,54.0,,85,26.0,203937,335,,,,,,,,,,,,,,,,,,,,257.0,,2019-20,46.0,MEM,1610612763.0,55.0,,203937,Kyle Anderson,Kyle,Anderson,True,20000659,,Active,21,MEM,1,F,SF,Kyle,Anderson,81,230,1993-09-20T00:00:00,New York,New York,,,UCLA,9073050.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000659.png,4,2e49c27a-06c5-4c4a-87fd-69840b783947,2292.0,3586.0,200153.0,697720,751276.0,3771.0,Scrambled,Scrambled,,Scrambled,23716,697720,5341,Kyle Anderson,Kyle Anderson,Kyle Anderson,SF,0.0,20000021,Kyle Anderson,697720,4586925.0,http://cdn.usatsimg.com/api/download/?imageID=13714987,http://cdn.usatsimg.com/api/download/?imageID=13715016,2019-11-26T10:27:18,2019-11-26T10:27:52,203937
30,132,31.0,203.0,62,16,0.258,280,138,0.493,66,43,0.652,59,20,00,1140.0,54.0,,85,26.0,203937,335,,,,,,,,,,,,,,,,,,,,257.0,,2019-20,46.0,MEM,1610612763.0,55.0,,203937,Kyle Anderson,Kyle,Anderson,True,20000659,,Active,21,MEM,1,F,SF,Kyle,Anderson,81,230,1993-09-20T00:00:00,New York,New York,,,UCLA,9073050.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000659.png,4,2e49c27a-06c5-4c4a-87fd-69840b783947,2292.0,3586.0,200153.0,697720,751276.0,3771.0,Scrambled,Scrambled,,Scrambled,23716,697720,5341,Kyle Anderson,Kyle Anderson,Kyle Anderson,SF,0.0,20000021,Kyle Anderson,697720,4586925.0,http://cdn.usatsimg.com/api/download/?imageID=13714987,http://cdn.usatsimg.com/api/download/?imageID=13715016,2019-11-26T10:27:18,2019-11-26T10:27:52,203937
32,329,58.0,653.0,271,83,0.306,1139,623,0.547,570,361,0.633,57,57,00,1763.0,130.0,,173,25.0,203507,1690,,,,,,,,,,,,,,,,,,,,783.0,,2019-20,59.0,MIL,1610612749.0,209.0,,203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True,20000497,,Active,15,MIL,34,F,PF,Giannis,Antetokounmpo,83,242,1994-12-06T00:00:00,Athens,Greece,,,,25842697.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000497.png,5,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,2143.0,3456.0,200410.0,739957,755620.0,2444.0,Scrambled,Scrambled,2020-03-11T00:00:00,Scrambled,40199,739957,5185,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,PF,0.0,20000015,Giannis Antetokounmpo,739957,4587742.0,http://cdn.usatsimg.com/api/download/?imageID=13477391,http://cdn.usatsimg.com/api/download/?imageID=13515115,2019-10-09T17:16:12,2019-10-14T10:08:59,203507
33,329,58.0,653.0,271,83,0.306,1139,623,0.547,570,361,0.633,57,57,00,1763.0,130.0,,173,25.0,203507,1690,,,,,,,,,,,,,,,,,,,,783.0,,2019-20,59.0,MIL,1610612749.0,209.0,,203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True,20000497,,Active,15,MIL,34,F,PF,Giannis,Antetokounmpo,83,242,1994-12-06T00:00:00,Athens,Greece,,,,25842697.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000497.png,5,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,2143.0,3456.0,200410.0,739957,755620.0,2444.0,Scrambled,Scrambled,2020-03-11T00:00:00,Scrambled,40199,739957,5185,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,PF,0.0,20000015,Giannis Antetokounmpo,739957,4587742.0,http://cdn.usatsimg.com/api/download/?imageID=13477391,http://cdn.usatsimg.com/api/download/?imageID=13515115,2019-10-09T17:16:12,2019-10-14T10:08:59,203507
34,4,3.0,7.0,4,1,0.25,21,12,0.571,2,0,0.0,1,1,00,31.0,4.0,,4,25.0,203507,25,,,,,,,,,,,,,,,,,,,,11.0,,2019-20,1.0,GNS,1610616833.0,1.0,,203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True,20000497,,Active,15,MIL,34,F,PF,Giannis,Antetokounmpo,83,242,1994-12-06T00:00:00,Athens,Greece,,,,25842697.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000497.png,5,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,2143.0,3456.0,200410.0,739957,755620.0,2444.0,Scrambled,Scrambled,2020-03-11T00:00:00,Scrambled,40199,739957,5185,Giannis Antetokounmpo,Giannis Antetokounmpo,Giannis Antetokounmpo,PF,0.0,20000015,Giannis Antetokounmpo,739957,4587742.0,http://cdn.usatsimg.com/api/download/?imageID=13477391,http://cdn.usatsimg.com/api/download/?imageID=13515115,2019-10-09T17:16:12,2019-10-14T10:08:59,203507
